"Continent","state","Name","summit","broadrelief","steeprelief","lat","lon","broadcoord.X","broadcoord.Y","steepcoord.X","steepcoord.Y"
"NORTHERN AMERICA","Michigan","Mount Arvon",603,146,0,46.7557,-88.1553,-88.1507837754135,46.7633011424817,-88.2326637498889,46.8082527264017
"NORTHERN AMERICA","Michigan","Mount Curwood",603,102,0,46.7030555555556,-88.2394444444444,-88.3167328219114,46.7556088156526,-88.3167328219114,46.7556088156526
"NORTHERN AMERICA","Michigan","Summit Peak",595,152,0,46.7472222222222,-89.7716666666667,-89.7693768229553,46.7398008511189,-89.8283079293496,46.7870134994561
"NORTHERN AMERICA","Michigan","Grove Hill",521,55,0,44.1375,-85.3447222222222,-85.3950520419756,44.1732626243147,-85.3950520419756,44.1732626243147
"NORTHERN AMERICA","Michigan","Briar Hill",519,143,0,44.3661111111111,-85.6794444444444,-85.6795071803168,44.3750654325688,-85.7297189482721,44.4020523056649
"NORTHERN AMERICA","Michigan","Cuyahoga Peak",485,306,160,46.8136111111111,-89.7130555555556,-89.7553348612401,46.8430633862325,-89.7225554558221,46.8160844647562
"NORTHERN AMERICA","Michigan","Indian Springs Lookout",481,45,0,44.2997222222222,-84.3955555555556,-84.4410060057338,44.3323360769016,-84.4410060057338,44.3323360769016
"NORTHERN AMERICA","Michigan","Otsego County High Point",462,68,0,44.9313888888889,-84.8125,-84.8156038329172,44.935933050166,-84.8694813880921,44.9719125462537
"NORTHERN AMERICA","Michigan","Huron Mountain",460,267,197,46.8783333333333,-87.9216666666667,-87.9804161448406,46.9190221703703,-87.9278984800574,46.8830557206629
"NORTHERN AMERICA","Michigan","Rose City Lookout Tower",457,66,0,44.4333333333333,-84.1833333333333,-84.2258696478781,44.4636077522384,-84.2258696478781,44.4636077522384
"NORTHERN AMERICA","Michigan","Mount Bohemia",447,268,233,47.3916666666667,-88.0136111111111,-88.0712051067666,47.4312731046472,-88.0082470749807,47.3885634183766
"NORTHERN AMERICA","Michigan","Mount Desor",425,161,0,47.9558333333333,-89.0116666666667,-89.0669351867021,47.992918812543,-89.0669351867021,47.992918812543
"NORTHERN AMERICA","Michigan","Graham Benchmark",405,178,0,45.4736111111111,-84.9497222222222,-84.9391719104494,45.47203604482,-84.9999500623013,45.5102651273834
"NORTHERN AMERICA","Michigan","Nubs Nob",405,176,0,45.4669444444444,-84.9011111111111,-84.9097418240045,45.4631201391006,-84.9513330225882,45.503598506246
"NORTHERN AMERICA","Indiana","Hoosier Hill",383,17,0,40.0012,-84.8487,-84.880037603742,40.0266382316623,-84.880037603742,40.0266382316623
"NORTHERN AMERICA","Michigan","Empire Bluffs",340,165,164,44.7997222222222,-86.0713888888889,-86.1128019059165,44.8287352961793,-86.0748644281535,44.7972475373866
"NORTHERN AMERICA","Michigan","Shauger Hill",330,155,153,44.8597222222222,-86.0655555555555,-86.1057463958764,44.8896352757413,-86.0677695062802,44.8558978119247
"NORTHERN AMERICA","Indiana","Washington County High Point",320,51,0,38.6416666666667,-85.9872222222222,-85.9925629552843,38.6374776737711,-86.0241652555188,38.6712530730356
"NORTHERN AMERICA","Michigan","South Manitou Island High Point",306,131,0,45.0166666666667,-86.1447222222222,-86.1819749502461,45.0442403391561,-86.1819749502461,45.0442403391561
"NORTHERN AMERICA","Indiana","Williams Benchmark",296,172,0,38.1736111111111,-85.9133333333333,-85.9472974662487,38.2008584673122,-85.9472974662487,38.2008584673122
"NORTHERN AMERICA","Michigan","Saugatuck Dunes State Park High Point",250,75,0,42.7102777777778,-86.2019444444445,-86.2254483012031,42.7267039000512,-86.2254483012031,42.7267039000512
"NORTHERN AMERICA","Michigan","Rosy Mound",247,61,0,43.0230555555556,-86.2233333333333,-86.2312465480705,43.0240004299248,-86.2465881742633,43.0397508687225
"NORTHERN AMERICA","Michigan","P J Hoffmaster State Park High Point",247,64,0,43.1333333333333,-86.2733333333333,-86.2751154009485,43.1320281286239,-86.2966299387541,43.1500283144749
"NORTHERN AMERICA","Michigan","Muskegon State Park High Point",241,65,0,43.2436111111111,-86.3386111111111,-86.3427356048698,43.2405956611162,-86.3612109646874,43.2608459727135
"NORTHERN AMERICA","Indiana","Mount Holden",233,57,0,41.6644444444444,-87.0527777777778,-87.0558395660205,41.6643993797887,-87.0768585396157,41.6824040686267
